Date;ER;DD;dflows;LER;dLER;dPoil;dDate;match
01.06.2004;28.9993;0.267462865;0.002523457;3.367271692;0.026555891;-5.826890812;7;1431
05.06.2004;29.0658;0.266712233;0.000970408;3.369562225;0.229053352;-2.020270732;4;1435
10.06.2004;29.0337;0.266070642;0.000885531;3.368457224;-0.110500102;-4.426374435;5;1440
15.06.2004;29.0287;0.263785708;-0.001489812;3.368284996;-0.01722285;1.516264209;5;1445
20.06.2004;29.0257;0.26373135;-0.000179391;3.368181644;-0.010335134;1.016957917;5;1450
25.06.2004;29.0218;0.264902017;0.000807941;3.368047272;-0.013437271;-2.475585236;5;1455
01.07.2004;29.0471;2.65E-01;0.000034;3.36891865;0.087137871;-4.387572569;6;1461
05.07.2004;29.0409;0.266050941;0.00098139;3.368705181;-0.021346922;6.242913358;4;1465
10.07.2004;29.11;0.268140406;0.002567695;3.371081758;0.237657655;4.884403042;5;1470
15.07.2004;29.1037;0.268677171;-0.001079504;3.370865314;-0.02164439;1.018229591;5;1475
20.07.2004;29.0805;0.268433446;-0.000669258;3.370067846;-0.07974674;4.074734497;5;1480
25.07.2004;29.083;0.268488367;-0.000188834;3.370153811;0.008596457;0.23009086;5;1485
01.08.2004;29.1019;0.269468383;-0.000073882;3.370803464;0.064965311;4.420747284;7;1492
05.08.2004;29.1764;0.271454931;0.002405945;3.373360163;0.255669917;1.983616079;4;1496
