,RGDP,PGDP,Cons,GPDInv,Emp. Hours,Real Comp/Hour,FedFunds
1993Q3,0.02047831,0.01787303,0.04345341,0.00007248,0.01856134,-0.00052264,0.0306
1993Q4,0.05346767,0.01941129,0.03548925,0.20154044,0.03264158,-0.01187823,0.0299
1994Q1,0.04046406,0.02543842,0.04410371,0.16841752,0.01591527,0.03409026,0.032133333
1994Q2,0.05183287,0.0170177,0.02870819,0.22706959,0.06717744,-0.02989865,0.0394
1994Q3,0.02234558,0.02415453,0.02855444,-0.0710458,0.04747775,-0.0338596,0.044866667
1994Q4,0.04664183,0.01908723,0.03978774,0.18180572,0.02399136,0.00450686,0.051666667
1995Q1,0.01109584,0.0261244,0.00633349,0.03957707,0.02711775,0.00697359,0.0581
1995Q2,0.00713438,0.01469652,0.03296275,-0.1082333,0.002276,-0.00819116,0.0602
1995Q3,0.0324602,0.01694071,0.03471857,-0.03817267,0.04118403,0.00567883,0.057966667
1995Q4,0.0291504,0.01958764,0.02721617,0.11113791,0.003921,0.01880415,0.0572
1996Q1,0.02812242,0.02442546,0.03511129,0.05488079,-0.00635541,0.00842305,0.053633333
1996Q2,0.06503356,0.01339633,0.04332784,0.20086902,0.03297443,0.00374236,0.052433333
1996Q3,0.03339102,0.0191391,0.02541,0.19467832,0.03113136,0.00835736,0.053066667
1996Q4,0.04648802,0.01659251,0.0331727,-0.01471458,0.04905725,-0.01483829,0.0528
1997Q1,0.03080189,0.02145525,0.04299393,0.08311987,0.04476112,0.00265805,0.052766667
1997Q2,0.06035748,0.0137921,0.01857215,0.25769786,0.02208988,0.02216206,0.055233333
1997Q3,0.04949204,0.01048043,0.06513543,0.07943285,0.0223832,0.02056641,0.055333333
1997Q4,0.02938616,0.01350018,0.04116048,0.0649939,0.01974955,0.04842066,0.055066667
1998Q1,0.04400796,0.00966869,0.04388918,0.20328156,0.02290148,0.06921006,0.0552
1998Q2,0.02636631,0.00781786,0.06301941,-0.06416757,0.01709048,0.04289513,0.055
1998Q3,0.04579167,0.01393441,0.04803172,0.09036813,0.00636041,0.0471321,0.055333333
1998Q4,0.06030803,0.01161632,0.0535924,0.09646279,0.05501685,0.00385549,0.0486
1999Q1,0.03382299,0.01536759,0.03979235,0.11003639,0.00117309,0.05847076,0.047333333
1999Q2,0.03295413,0.01752023,0.06188006,0.00298019,0.02758539,-0.01309001,0.047466667
1999Q3,0.0464283,0.01312059,0.04162978,0.09712104,0.02686756,0.00347247,0.050933333
1999Q4,0.07045464,0.01844307,0.04914382,0.14560602,0.01270738,0.05139686,0.053066667
2000Q1,0.01013798,0.03304918,0.06322404,-0.07178886,0.01634461,0.10128505,0.056766667
2000Q2,0.06232828,0.01961103,0.0251733,0.25516406,0.00170624,-0.02024063,0.062733333
2000Q3,-0.00458819,0.0184381,0.0383816,-0.10415832,-0.0007874,0.04148726,0.0652
2000Q4,0.02074452,0.01775763,0.03355598,-0.02289156,-0.01627496,-0.00493435,0.064733333
2001Q1,-0.00492753,0.03244427,0.016437,-0.14660739,-0.00682557,0.02727709,0.055933333
2001Q2,0.01226782,0.03073662,0.01001823,-0.07954301,-0.04240041,-0.0043732,0.043266667
2001Q3,-0.01409731,0.01561129,0.01757917,-0.11099048,-0.04734101,0.01048056,0.034966667
2001Q4,0.01576188,0.01679205,0.06728838,-0.25729404,-0.04664439,0.03370628,0.021333333
2002Q1,0.02705101,0.01668323,0.01403496,0.1273623,-0.03484427,0.04853843,0.017333333
2002Q2,0.02170559,0.01507493,0.02335885,0.0188669,0.00736452,0.01044872,0.0175
2002Q3,0.02349573,0.01547836,0.02235289,0.05616094,-0.0121208,-0.00079745,0.0174
2002Q4,0.00202307,0.02213383,0.01401582,-0.01004386,0.00499739,-0.02542805,0.014433333
2003Q1,0.01196187,0.0309873,0.02050061,-0.01317929,-0.02307453,0.01529012,0.0125
2003Q2,0.03409633,0.01261461,0.03567167,0.03209562,-0.01162211,0.07036345,0.012466667
2003Q3,0.07220722,0.02031111,0.05675111,0.16265652,0.00604078,0.02231036,0.010166667
2003Q4,0.02615901,0.02199987,0.02248419,0.08880089,0.01934535,0.01934819,0.009966667
2004Q1,0.02919326,0.03625178,0.04347495,0.02085565,0.01756837,-0.03554915,0.010033333
2004Q2,0.03422865,0.03698873,0.02419706,0.18776104,0.00271448,0.02041063,0.0101
2004Q3,0.03536593,0.02272236,0.0344422,0.07676225,0.02226472,0.02846843,0.014333333
2004Q4,0.02517521,0.03156708,0.04132988,0.06231805,0.02597821,0.00609333,0.0195
2005Q1,0.02931664,0.03959485,0.01730275,0.08729504,0.00864462,0.00551302,0.0247
2005Q2,0.02576846,0.02066616,0.03563234,-0.05248674,0.02211956,-0.00510937,0.029433333
2005Q3,0.03777554,0.04002796,0.03676249,0.03890779,0.00804074,-0.0023552,0.0346
2005Q4,0.01305614,0.03680357,0.01366501,0.11533575,0.02769893,-0.00255864,0.0398
2006Q1,0.04704445,0.03477194,0.04173489,0.06011962,0.03886234,0.02601499,0.044566667
2006Q2,0.02644742,0.02694821,0.02744853,-0.00421086,0.0044269,-0.02285059,0.049066667
2006Q3,0.00792107,0.02714361,0.02203844,-0.0549313,0.01913777,-0.01719868,0.052466667
2006Q4,0.01493088,0.02156266,0.03641877,-0.16211323,0.01855604,0.10213293,0.052466667
2007Q1,0.00051864,0.04032534,0.03786643,-0.10046426,-0.00242117,0.00500428,0.052566667
2007Q2,0.04674556,0.01999451,0.01951967,0.05973553,0.00921878,-0.03204325,0.0525
2007Q3,0.04650959,0.01513059,0.0199785,0.03450422,-0.01495035,0.01562425,0.050733333
2007Q4,-0.00172299,0.02797238,0.00949717,-0.12699723,-0.00209817,-0.0051572,0.044966667
2008Q1,0.00867493,0.02596951,0.00859954,-0.06003578,-0.01689098,-0.00556135,0.031766667
2008Q2,0.02785501,0.01110181,0.01213765,-0.12206931,-0.01762408,-0.03232905,0.020866667
2008Q3,-0.00509281,0.03861547,-0.03890557,0.00399511,-0.04029122,-0.00929463,0.0194
2008Q4,-0.06554227,0.00545375,-0.04387121,-0.26130363,-0.08690524,0.14763496,0.005066667
