,IND_PROD,EXPORT_D11,IMPORT_D11,EMPLOYED_D11,CONSTRUCTION_D11,CARGO_D11,RETAIL_D11,BUSINESS_CONF,REAL_DISPOSABLE_INCOME_SA,RETAIL_FOOD_D11,RETAIL_NONFOOD_D11,TOTAL_REVENUE_SE_D11,unemp_rate,EXPORT_SNG_D11,agriculture,HOUSING_D11,real_investment,IMPORT_SNG_D11,inflation,d_reer,d_poil,d_pgas,firms_exp,infl_exp
2006M12,4.605456645,5.398090536,5.626409089,4.062591013,5.02054289,4.240254137,4.622419863,4.038939416,4.7646422,4.520462793,4.708898666,4.364543663,6.4327427,5.395812386,5.365639837,5.127572501,5.433004279,5.176969287,0.64677182,0.530690291,6.313818924,-9.176788124,22.12,
2007M01,4.619357863,5.31333287,5.691912716,4.06879885,5.008559399,4.244062736,4.619391214,4.039761033,4.7595097,4.503667556,4.717029632,4.382446465,6.424826052,5.345739551,5.363323341,5.163700466,5.480727544,5.307466913,0.743706347,0.650236311,-14.07075396,-2.674591382,20.72,
2007M02,4.609253339,5.364890296,5.674292424,4.076489298,5.005584561,4.235715478,4.640279831,4.041406925,4.7697847,4.533792804,4.720093776,4.372239363,6.251007229,5.43214281,5.36211197,5.181016162,5.472255926,5.300311252,0.635692817,0.047263157,7.228017884,22.13740458,19.61,
2007M03,4.629492389,5.375392773,5.713992622,4.07650396,5.040762298,4.235018623,4.658645629,4.043078429,4.7799753,4.548809222,4.74746575,4.380515303,6.142477003,5.400533359,5.366083813,5.166098122,5.47995298,5.269053,0.710654351,-0.44160209,7.800555942,-11.125,19.34,
2007M04,4.624073291,5.41429329,5.700528133,4.076638567,5.07174343,4.240586208,4.677898284,4.043952811,4.7764514,4.563257241,4.766777177,4.389418238,6.02468737,5.428434173,5.365501744,5.194078415,5.4949711,5.255824258,0.570839201,-0.796215676,8.767123288,6.891701828,19.46,
2007M05,4.639451316,5.468725892,5.775785567,4.075272732,5.110153376,4.274327524,4.6921429,4.044452496,4.805836,4.571329321,4.792739399,4.409326612,5.994067621,5.505297551,5.36588975,5.199283612,5.514554201,5.313069127,0.561564192,-0.414307292,-0.414876278,0.526315789,19.60,
2007M06,4.641105412,5.392821897,5.798343751,4.075961883,5.115363381,4.248864309,4.707699987,4.044549303,4.8092016,4.584081582,4.807808711,4.407055645,5.921876096,5.420505996,5.366889149,5.240738744,5.537837762,5.296814213,0.599172061,-0.29719769,5.713435501,-3.795811518,21.57,
2007M07,4.655448576,5.445761219,5.785833682,4.076069284,5.129129761,4.249355173,4.715847638,4.044501735,4.8195541,4.585626196,4.822170541,4.410907739,5.916004663,5.485617468,5.36096244,5.167314088,5.549153631,5.30239192,0.737257184,-0.255974174,8.275862069,-15.37414966,22.22,
2007M08,4.657361038,5.461701541,5.820339273,4.074485796,5.128205763,4.233222316,4.731914951,4.043995611,4.8427274,4.597184923,4.840828474,4.419343587,5.84455977,5.474279567,5.369193264,5.206973399,5.546667584,5.333220526,0.968015359,0.397740466,-8.020278175,0,22.64,
2007M09,4.644069501,5.40992231,5.751521815,4.075365041,5.132458579,4.239740191,4.738020175,4.041069006,4.8485195,4.598286044,4.850315762,4.415442833,5.753687672,5.473256762,5.372380231,5.230176106,5.545030324,5.29388289,1.050726206,-0.292544847,9.058790277,-2.250803859,25.21,
2007M10,4.663620587,5.592742516,5.894539585,4.076464572,5.156013121,4.237601081,4.745354015,4.037533961,4.8450874,4.600531871,4.861948204,4.432730821,5.638089607,5.606729974,5.364950957,5.185096895,5.646002715,5.365008194,1.182009984,-0.57383463,6.699494622,10.85526316,26.15,
2007M11,4.663231148,5.671838992,5.94275558,4.077539255,5.151116004,4.259618833,4.763544755,4.035937791,4.8778545,4.614345349,4.884428752,4.438693629,5.842498697,5.692519493,5.368785616,5.273245654,5.661112454,5.379022782,1.743835109,-0.250625813,12.22977897,5.341246291,27.17,
2007M12,4.657274471,5.666853711,5.907692871,4.078319368,5.206227993,4.274161386,4.780064958,4.035065975,4.865368,4.636118441,4.898339414,4.435017079,6.055425246,5.700564345,5.430763658,5.213107281,5.668730745,5.420823355,1.154151737,1.41458886,-1.601558273,0.14084507,27.29,
2008M01,4.682024184,5.805103602,6.049825533,4.078867372,5.315313547,4.27850418,4.778514612,4.035510335,4.845872,4.651754184,4.884726097,4.420675336,6.243941248,5.853966006,5.436967778,5.263472299,5.675759301,5.4887178,1.008138862,-0.40332968,1.374683823,12.3769339,27.26,
2008M02,4.684715108,5.772062303,6.137976049,4.07894223,5.310401197,4.308279031,4.817604519,4.035104214,4.8506154,4.6791866,4.922866898,4.434607339,5.962310573,5.837367187,5.440404126,5.206778867,5.684661325,5.563329159,1.105386695,-0.752415562,3.048383597,6.883604506,26.96,
2008M03,4.667463532,5.788964348,6.081044264,4.081536119,5.29682631,4.284336689,4.817219571,4.0356895,4.829762,4.679926547,4.925954915,4.420954486,5.646062177,5.752391898,5.439527825,5.251498798,5.680954181,5.53054276,0.746579798,-0.33225541,9.106221708,10.18735363,28.51,
