DATE,SP500
2017-09-01,2459.2660000000000000
2017-09-08,2462.4800000000000000
2017-09-15,2495.7620000000000000
2017-09-22,2504.3160000000000000
2017-09-29,2505.9920000000000000
2017-10-06,2540.5680000000000000
2017-10-13,2550.9420000000000000
2017-10-20,2563.1140000000000000
2017-10-27,2566.5460000000000000
2017-11-03,2579.0280000000000000
2017-11-10,2588.6140000000000000
2017-11-17,2578.5640000000000000
2017-11-24,2595.1675000000000000
2017-12-01,2628.8660000000000000
2017-12-08,2637.3520000000000000
2017-12-15,2662.9540000000000000
2017-12-22,2683.7580000000000000
2017-12-29,2681.0675000000000000
2018-01-05,2719.0025000000000000
2018-01-12,2760.2060000000000000
2018-01-19,2796.8275000000000000
2018-01-26,2844.3520000000000000
2018-02-02,2816.7760000000000000
2018-02-09,2645.2580000000000000
2018-02-16,2696.1980000000000000
2018-02-23,2717.2125000000000000
2018-03-02,2721.3260000000000000
2018-03-09,2740.2800000000000000
2018-03-16,2759.4300000000000000
2018-03-23,2674.7480000000000000
2018-03-30,2629.2600000000000000
2018-04-06,2621.6660000000000000
2018-04-13,2646.5020000000000000
2018-04-20,2691.2280000000000000
2018-04-27,2656.2200000000000000
2018-05-04,2646.3340000000000000
2018-05-11,2698.6260000000000000
2018-05-18,2719.4280000000000000
2018-05-25,2727.9660000000000000
2018-06-01,2713.4400000000000000
2018-06-08,2763.4840000000000000
2018-06-15,2781.3260000000000000
2018-06-22,2761.6600000000000000
2018-06-29,2714.8880000000000000
2018-07-06,2734.0900000000000000
2018-07-13,2790.3260000000000000
2018-07-20,2805.9840000000000000
2018-07-27,2825.9420000000000000
2018-08-03,2819.9640000000000000
2018-08-10,2850.6820000000000000
2018-08-17,2834.2160000000000000
2018-08-24,2862.7000000000000000
