Date,NER,ND,match,match2
28.07.2004,-0.000259532,0.00010374,1487,292
29.07.2004,-0.000485199,-0.0001028,1488,292
30.07.2004,-0.000291971,-0.000229809,1489,292
02.08.2004,0.000094,-0.000199657,1492,293
03.08.2004,-0.000112184,0.000194673,1493,293
04.08.2004,-0.000115186,-0.000161976,1494,293
05.08.2004,0.0000393,-0.000488977,1495,294
06.08.2004,0.000149907,-0.000377811,1496,294
09.08.2004,-0.00027878,-0.000107528,1499,294
10.08.2004,-0.0000528,-0.000370525,1500,295
11.08.2004,-0.000296596,-0.000383328,1501,295
12.08.2004,-0.000330135,-0.000329056,1502,295
13.08.2004,0.0000959,0.000156793,1503,295
16.08.2004,-0.000255016,-0.000348062,1506,296
17.08.2004,-0.000122987,-0.00035606,1507,296
18.08.2004,-0.00000258,-0.000142452,1508,296
19.08.2004,-0.000074,0.000208298,1509,296
20.08.2004,-0.0000739,-0.000226529,1510,297
23.08.2004,-0.0000506,-0.000387256,1513,297
24.08.2004,-0.000121141,-0.000170616,1514,297
25.08.2004,-0.0000185,0.0000458,1515,298
26.08.2004,-0.000223244,-0.000389994,1516,298
27.08.2004,0.00000615,-0.000125656,1517,298
30.08.2004,-0.000147244,-0.000219243,1520,298
31.08.2004,0.0000788,0.000471572,1521,298
01.09.2004,-0.000113102,-0.000165313,1522,299
02.09.2004,-0.000429524,-0.000152508,1523,299
03.09.2004,-0.000319847,-0.0000899,1524,299
06.09.2004,-0.000188542,0.000202621,1527,300
07.09.2004,0.000103632,0.0000212,1528,300
08.09.2004,-0.000180543,-0.000105521,1529,300
09.09.2004,-0.000285934,0.0000267,1530,300
10.09.2004,0.0000679,0.000110019,1531,301
13.09.2004,0.000361673,-0.000157206,1534,301
14.09.2004,-0.00000124,-0.000096,1535,301
15.09.2004,0.000115838,0.000127154,1536,302
16.09.2004,0.0000866,0.0000811,1537,302
17.09.2004,0.0000595,-0.000235322,1538,302
20.09.2004,0.000154744,0.0000443,1541,303
21.09.2004,-0.000097,0.000288013,1542,303
22.09.2004,0.000140956,-0.000134802,1543,303
23.09.2004,0.00000128,0.00014905,1544,303
24.09.2004,-0.000135521,-0.0000674,1545,303
27.09.2004,-0.0000739,0.000231606,1548,304
28.09.2004,-0.000110157,-0.000226492,1549,304
29.09.2004,0.000087,0.000186653,1550,304
30.09.2004,-0.0000478,-0.000181494,1551,304
01.10.2004,0.0000458,0.000147869,1552,305
04.10.2004,0.00000342,0.000175789,1555,305
05.10.2004,0.0000723,0.000158182,1556,306
06.10.2004,0.00021897,-0.0000852,1557,306
07.10.2004,0.000326881,0.000302022,1558,306
08.10.2004,0.0000427,-0.000105709,1559,306
11.10.2004,0.0000919,-0.000160952,1562,307
12.10.2004,-0.00009,0.0000195,1563,307
13.10.2004,-0.0000151,0.000150499,1564,307
14.10.2004,-0.0000087,0.000120648,1565,307
15.10.2004,-0.0000402,0.000041,1566,308
18.10.2004,0.000100172,0.0000432,1569,308
19.10.2004,-0.000190048,-0.000197544,1570,308
20.10.2004,0.00011218,0.000113274,1571,309
21.10.2004,-0.000253774,-0.000186754,1572,309
22.10.2004,-0.000039,-0.0000142,1573,309
25.10.2004,0.00000634,-0.000231703,1576,310
26.10.2004,-0.000065,0.0000732,1577,310
27.10.2004,-0.000336754,-0.0000453,1578,310
28.10.2004,0.00012351,-0.00000282,1579,310
29.10.2004,0.000085,0.000160686,1580,310
01.11.2004,0.0000739,0.00007,1583,311
02.11.2004,-0.00003,0.000202441,1584,311
03.11.2004,-0.0000581,-0.0000455,1585,311
04.11.2004,-0.0000209,-0.00013369,1586,311
05.11.2004,0.0000877,-0.000114657,1587,312
09.11.2004,0.000155526,0.0000445,1591,312
10.11.2004,0.0000994,0.000130677,1592,313
11.11.2004,-0.000253396,-0.00000898,1593,313
12.11.2004,-0.0000637,-0.000158579,1594,313
15.11.2004,-0.000246375,-0.000152019,1597,314
16.11.2004,-0.000251133,-0.000223907,1598,314
17.11.2004,0.0000665,0.0000884,1599,314
18.11.2004,-0.000252704,-0.000133397,1600,314
19.11.2004,0.0001122,0.000103847,1601,314
22.11.2004,-0.0000441,0.0000599,1604,315
23.11.2004,0.0000124,0.0000352,1605,315
24.11.2004,-0.0000321,-0.0000924,1606,315
25.11.2004,0.0000844,0.0000437,1607,316
26.11.2004,-0.000181867,0.0000509,1608,316
29.11.2004,-0.000115484,0.000126283,1611,316
30.11.2004,-0.00019705,0.000013,1612,316
01.12.2004,-0.000264737,-0.00000374,1613,317
02.12.2004,-0.0000846,0.000142588,1614,317
03.12.2004,-0.000104353,0.000181007,1615,317
06.12.2004,-0.000413373,-0.000126988,1618,318
07.12.2004,-0.0000715,0.0000585,1619,318
08.12.2004,-0.000186036,-0.0000828,1620,318
