Date,NER,ND,match
16.11.2004,-0.000251133,-0.000223907,1598
17.11.2004,0.0000665,0.0000884,1599
18.11.2004,-0.000252704,-0.000133397,1600
19.11.2004,0.0001122,0.000103847,1601
22.11.2004,-0.0000441,0.0000599,1604
23.11.2004,0.0000124,0.0000352,1605
24.11.2004,-0.0000321,-0.0000924,1606
25.11.2004,0.0000844,0.0000437,1607
26.11.2004,-0.000181867,0.0000509,1608
29.11.2004,-0.000115484,0.000126283,1611
30.11.2004,-0.00019705,0.000013,1612
01.12.2004,-0.000264737,-0.00000374,1613
02.12.2004,-0.0000846,0.000142588,1614
03.12.2004,-0.000104353,0.000181007,1615
06.12.2004,-0.000413373,-0.000126988,1618
07.12.2004,-0.0000715,0.0000585,1619
08.12.2004,-0.000186036,-0.0000828,1620
09.12.2004,-0.000456942,-0.00000511,1621
10.12.2004,-0.000120061,-0.0000435,1622
14.12.2004,-0.000515645,-0.000000713,1626
15.12.2004,-0.0000785,-0.000132452,1627
16.12.2004,-0.000343055,-0.000142261,1628
17.12.2004,0.000177667,0.0000166,1629
20.12.2004,-0.000108766,-0.000225479,1632
21.12.2004,-0.000173293,-0.0000497,1633
22.12.2004,0.0000173,-0.000000559,1634
23.12.2004,0.0000831,-0.000126951,1635
24.12.2004,0.0000926,0.000201421,1636
27.12.2004,-0.00000641,0.00012512,1639
28.12.2004,0.0000433,-0.0000651,1640
29.12.2004,-0.000128036,-0.000203453,1641
30.12.2004,0.00000686,-0.000175732,1642
11.01.2005,-0.0000788,-0.0000157,1654
12.01.2005,0.0000872,0.000127775,1655
13.01.2005,-0.000123232,-0.0000763,1656
14.01.2005,0.0000906,-0.000149686,1657
17.01.2005,-0.0000954,-0.0000776,1660
18.01.2005,0.0000478,-0.000101331,1661
19.01.2005,-0.000310569,-0.000471335,1662
20.01.2005,-0.000348286,-0.0000977,1663
21.01.2005,0.0000339,0.0000164,1664
24.01.2005,0.0000773,-0.0000138,1667
25.01.2005,0.0000893,0.000125012,1668
26.01.2005,0.000126587,-0.000106857,1669
27.01.2005,-0.0000706,-0.000175116,1670
28.01.2005,0.000119098,-0.0000922,1671
31.01.2005,0.0000227,-0.0000324,1674
01.02.2005,0.000185881,0.000132391,1675
02.02.2005,0.000104681,-0.000455916,1676
